#Frame     GSA[EELEC]    GSA[EVDW]
       1     -78.6014     -49.8132
       2     -96.1343     -50.2255
       3     -91.8563     -48.3005
       4     -84.1069     -47.0381
       5     -61.5838     -46.4556
       6     -67.8668     -50.9040
       7     -50.6009     -35.8833
       8     -87.7030     -41.8735
       9     -52.4254     -53.1697
      10     -40.8449     -43.0437
      11     -22.2293     -52.7265
      12     -54.9898     -43.9532
      13      10.4123     -50.1798
      14     -29.9967     -42.4535
      15     -68.0510     -39.2365
      16     -15.1918     -47.7154
      17     -12.1037     -38.6508
      18     -67.4870     -46.5247
      19     -35.2817     -39.0952
      20     -36.8325     -43.0771
      21     -57.9154     -41.6743
      22     -43.0863     -45.0610
      23     -38.6707     -37.4265
      24     -28.7982     -44.4989
      25       2.8587     -43.9246
      26       6.5158     -43.0035
      27     -12.0879     -45.6357
      28     -25.6705     -45.2246
      29      -4.7102     -44.8237
      30     -17.0264     -42.8987
      31     -76.1184     -39.8389
      32     -48.5291     -47.2932
      33     -62.4867     -41.0020
      34      -3.4563     -43.8148
      35     -69.8945     -48.8070
      36     -49.1574     -45.2165
      37     -27.8993     -44.6541
      38     -42.0532     -45.7303
      39     -58.0655     -45.4549
      40     -44.3885     -48.9997
      41      -1.5207     -46.5092
      42       1.9332     -49.8939
      43     -47.2550     -42.2494
      44     -67.3954     -33.0338
      45     -41.8866     -42.1571
      46     -20.9939     -45.8005
      47       0.2745     -45.2217
      48      31.8984     -41.6407
      49      -4.3867     -45.0883
      50       6.8531     -44.6098
      51      -0.8280     -48.5734
      52       9.3417     -44.9491
      53     -20.7790     -44.6482
      54       9.9945     -52.1162
      55      11.3016     -45.6220
      56       9.4114     -44.4951
      57      26.9395     -49.1868
      58      24.9531     -40.2748
      59      37.4058     -45.0738
      60       8.1072     -44.0416
      61      -2.6218     -35.3437
      62      -7.5587     -42.9688
      63      28.6869     -41.9762
      64      16.8623     -39.4436
      65      17.3820     -40.3157
      66     -10.6118     -43.4870
      67      20.4968     -34.2538
      68     -27.8779     -33.4534
      69      15.9470     -39.3908
      70      -4.9180     -40.5748
      71      -2.0354     -38.1655
      72      38.5604     -38.0796
      73      11.7661     -41.7873
      74      -9.3708     -44.3934
      75     -49.8623     -39.9037
      76     -28.7550     -38.9880
      77      -2.5856     -42.1541
      78      19.2315     -37.7172
      79       9.4803     -40.6285
      80      -5.8550     -46.9037
      81     -10.4054     -41.8922
      82      14.5570     -38.8066
      83       2.3627     -45.1708
      84      -1.6673     -46.1139
      85      37.2703     -45.6861
      86      25.7832     -49.2482
      87      47.9057     -44.0125
      88      61.2103     -44.4678
      89      53.5474     -46.5702
      90      12.2225     -43.0635
      91      37.8736     -45.7273
      92      64.0448     -35.7746
      93      63.3751     -43.3468
      94      55.5821     -45.6064
      95      44.6945     -44.5940
      96      48.7240     -42.5626
      97       9.1731     -47.1299
      98      65.2707     -43.9673
      99      -0.0688     -36.0929
     100      -6.5283     -35.9503
     101      61.9758     -40.4678
     102      38.5537     -39.4671
     103       0.2457     -40.1245
     104     -16.7158     -31.6465
     105     -58.9635     -26.9174
     106     -14.9455     -33.6742
     107     -41.7042     -33.4492
     108     -28.7667     -37.5658
     109     -35.5603     -41.6149
     110      -8.8965     -41.7071
     111     -46.0599     -34.5138
     112     -34.6331     -39.3779
     113     -43.1092     -44.6075
     114     -45.4285     -34.8455
     115     -51.0050     -27.5968
     116     -47.5660     -35.6983
     117     -57.6155     -31.0742
     118     -31.3800     -26.5424
     119     -40.7592     -28.0841
     120      -9.2753     -39.4340
     121     -40.0151     -29.8497
     122      -5.8885     -33.4383
     123     -43.7751     -36.1567
     124     -20.1011     -34.3801
     125      -4.5425     -40.9779
     126       1.3974     -42.7390
     127     -30.8277     -29.4324
     128     -14.5972     -37.8919
     129     -20.3534     -37.6129
     130     -19.4794     -29.1071
     131     -14.2504     -35.3067
     132     -43.8006     -35.9426
     133     -21.6167     -34.5137
     134       2.7554     -29.5813
     135     -24.5159     -22.9851
     136     -14.2789     -37.3792
     137     -11.1003     -42.3992
     138     -19.7988     -34.7551
     139      -3.2171     -37.2073
     140     -30.3105     -27.5701
     141      -8.6518     -23.0961
     142     -14.8417     -33.2999
     143      20.0103     -34.2324
     144     -40.5638     -29.9127
     145      22.9658     -39.7946
     146      23.7741     -45.4944
